"ID","ACC"
1,"1"
2,"2"
3,"3"
4,"4"
5,"5"
6,"6"
7,"7"
8,"8"
9,"9"
10,"10"
1063,"Os12g0176200"
1064,"Os10g0405100"
1065,"Os04g0514900"
1066,"Os01g0580100"
1067,"Os11g0145500"
1068,"Os01g0897200"
1069,"Os02g0119000"
1070,"Os09g0295000"
1071,"Os05g0119500"
1072,"Os07g0445600"
1073,"Os01g0600200"
1074,"Os10g0415100"
1075,"Os03g0718800"
1076,"Os01g0727600"
1077,"Os09g0525400"
1078,"Os08g0162100"
1079,"Os04g0272400"
1080,"Os12g0134200"
1081,"Os05g0592100"
1082,"Os06g0253600"
1083,"Os09g0541000"
1084,"Os02g0119400"
1085,"Os09g0381800"
1086,"Os10g0463300"
1087,"POsControl0039"
1088,"Os03g0265700"
1089,"Os02g0177800"
1090,"Os03g0287800"
1091,"Os10g0542700"
1092,"Os10g0183900"
1093,"Os10g0558800"
1094,"Os07g0113200"
1095,"Os03g0797900"
1096,"Os04g0611400"
1097,"Os07g0463400"
1098,"Os01g0177100"
1099,"Os03g0837300"
1100,"Os12g0574900"
1101,"1101"
1102,"1102"
1103,"1103"
1104,"1104"
1105,"1105"
1106,"1106"
1107,"1107"
1108,"1108"
1109,"1109"
1110,"1110"
1111,"Os04g0689500"
1112,"Os05g0397300"
1113,"Os03g0636600"
1114,"Os02g0138200"
1115,"Os03g0187100"
1116,"Os03g0101600"
1117,"Os09g0555700"
1118,"Os06g0102300"
1119,"Os08g0509600"
1120,"Os01g0696900"
1121,"Os05g0372100"
1122,"Os06g0354700"
1123,"Os08g0169100"
1124,"Os03g0231800"
1125,"Os02g0289300"
1126,"Os05g0148700"
1127,"Os05g0126700"
1128,"Os02g0539100"
1129,"Os12g0557900"
1130,"Os03g0657100"
1131,"Os04g0125700"
1132,"Os02g0229800"
1133,"Os02g0143100"
1134,"Os02g0531600"
1135,"Os02g0194700"
1136,"Os08g0197700"
1137,"Os01g0149400"
1138,"Os04g0627300"
1139,"Os08g0117300"
1140,"Os07g0228400"
1141,"Os08g0306000"
1142,"Os02g0813500"
1143,"Os06g0343600"
1144,"Os12g0638100"
1145,"Os03g0668400"
1146,"Os09g0557900"
1147,"Os11g0258900"
1148,"Os06g0565300"
1149,"Os12g0617400"
1150,"Os05g0113300"
1151,"Os09g0522000"
1152,"Os01g0261200"
1153,"Os07g0641700"
1154,"Os10g0128800"
1155,"Os01g0232300"
1156,"Os12g0605800"
1157,"Os02g0215100"
1158,"Os01g0770800"
1159,"Os02g0180900"
1160,"Os01g0687300"
1161,"Os04g0423700"
1162,"Os08g0202200"
1163,"Os01g0308300"
1164,"Os03g0413100"
1165,"Os03g0833500"
1166,"Os11g0707900"
1167,"Os06g0132600"
1168,"Os08g0157600"
1169,"Os01g0762000"
1170,"Os01g0833800"
1171,"Os07g0628900"
1172,"Os02g0615800"
1173,"Os03g0821400"
1174,"Os04g0540600"
1175,"Os06g0236300"
1176,"Os01g0808100"
1177,"Os05g0229000"
1178,"Os03g0703100"
1179,"Os04g0675800"
1180,"Os11g0435500"
1181,"Os04g0434700"
1182,"Os02g0778500"
1183,"Os06g0523400"
1184,"Os03g0308100"
1185,"osa-miR393"
1186,"1186"
1187,"1187"
1188,"1188"
1189,"1189"
1190,"1190"
1191,"1191"
1192,"1192"
1193,"1193"
1194,"1194"
1195,"1195"
1196,"Os09g0414900"
1197,"Os05g0581900"
1198,"Os08g0562100"
1199,"POsControl0031"
1200,"Os03g0413100"
1201,"osa-miR167h"
1202,"Os04g0638900"
1203,"Os12g0118800"
1204,"Os04g0463800"
1205,"Os01g0895100"
1206,"Os02g0168800"
1207,"Os11g0682500"
1208,"Os02g0580500"
1209,"Os03g0118700"
1210,"Os03g0370900"
1211,"Os10g0563700"
1212,"Os11g0600700"
1213,"Os01g0758200"
1214,"Os11g0307600"
1215,"1215"
1216,"Os01g0919500"
1217,"Os06g0234200"
1218,"Os01g0805000"
1219,"Os04g0221000"
1220,"Os01g0721900"
1221,"Os01g0973200"
1222,"Os10g0555700"
1223,"Os05g0188600"
1224,"Os05g0147200"
1225,"Os01g0657100"
1226,"Os02g0126800"
1227,"Os11g0162300"
1228,"Os01g0120800"
1229,"osa-miR156d"
1230,"Os01g0611000"
1231,"Os03g0243900"
1232,"Os05g0594500"
1233,"Os08g0543200"
